FromY,ToY,MeanY,ClassName,ClassValue,DEL,DES,Ellenallas10,Ellenallas40,Gamma,Laterolog,Magneses,Neutron,Nyiro,Primer,Tavolsag,TermPot
479.75,479.8,-479.775,agyagkő,6,2.6500199,2.6800101,25.4300003,96.7001038,23.6100006,159.3300018,-2.87392,37.6199989,2672.01001,4623.189941,-479.8,-430
479.8,479.83,-479.815,aleurolit,7,2.6500199,2.6800101,25.4300003,96.7001038,23.6100006,159.3300018,-2.87392,37.6199989,2672.01001,4623.189941,-479.8,-430
479.83,479.86,-479.845,aleurolit,7,2.6500199,2.6800101,25.4300003,96.7001038,23.6100006,159.3300018,-2.87392,37.6199989,2672.01001,4623.189941,-479.8,-430
479.86,479.93,-479.895,agyagkő,6,2.68999,2.6800001,25.4300003,96.7399979,22.460001,159.3899994,-2.86889,38.7700005,2599.090088,4686.209961,-479.9,-430
479.93,479.95,-479.94,aleurolit,7,2.68999,2.6800001,25.4300003,96.7399979,22.460001,159.3899994,-2.86889,38.7700005,2599.090088,4686.209961,-479.9,-430
479.95,480.02,-479.985,agyagkő,6,2.6700101,2.6200199,25.4300003,96.8499985,23.7800007,159.8200073,-2.8707199,36.4599991,2599.090088,4667.970215,-480,-431
480.02,480.06,-480.04,aleurolit,7,2.6700101,2.6200199,25.4300003,96.8499985,23.7800007,159.8200073,-2.8707199,36.4599991,2599.090088,4667.970215,-480,-431
480.06,481.91,-480.985,agyagkő,6,2.72,2.6600001,25.2399998,96.6800003,26.0200005,161.0500031,-2.8666999,37.5600014,2609.26001,4597.810059,-481,-428.0010071
481.91,481.98,-481.945,aleurolit,7,2.6800001,2.72998,25.3700008,96.5798035,24.8500004,163.0800018,-2.86391,36.8600006,2669.340088,4590.620117,-481.9,-433.9989929
481.98,482.09,-482.035,agyagkő,6,2.6800001,2.6700201,25.4500008,97.3598022,23.5599995,163.9600067,-2.8682799,35.1100006,2658.689941,4553.040039,-482,-435.9989929
482.09,482.15,-482.12,agyagkő,6,2.6800001,2.6400101,25.5900002,98.4796982,23.7600002,164.5500031,-2.8573301,37.5800018,2645.5,4529.990234,-482.1,-435
482.15,482.2,-482.175,aleurolit,7,2.6000199,2.6400001,25.7898998,99.6696014,21.9899998,164.8600006,-2.87134,38.25,2645.5,4539.629883,-482.2,-432.0010071
482.2,482.25,-482.225,agyagkő,6,2.6000199,2.6400001,25.7898998,99.6696014,21.9899998,164.8600006,-2.87134,38.25,2645.5,4539.629883,-482.2,-432.0010071
482.25,482.3,-482.275,aleurolit,7,2.6299901,2.6300001,26.0298996,100.9899979,22.4300003,165.75,-2.86658,36.8600006,2656.040039,4593.52002,-482.3,-431
482.3,482.36,-482.33,agyagkő,6,2.6299901,2.6300001,26.0298996,100.9899979,22.4300003,165.75,-2.86658,36.8600006,2656.040039,4593.52002,-482.3,-431
482.36,482.38,-482.37,aleurolit,7,2.67998,2.6699901,26.2798996,102.1800003,22.4799995,165.9400024,-2.8768899,35.4399986,2677.379883,4666.609863,-482.4,-430
482.38,482.49,-482.435,agyagkő,6,2.67998,2.6699901,26.2798996,102.1800003,22.4799995,165.9400024,-2.8768899,35.4399986,2677.379883,4666.609863,-482.4,-430
482.49,482.58,-482.535,agyagkő,6,2.6400101,2.68999,26.5198994,103.0699997,21.9899998,165.9600067,-2.8772299,34.7400017,2677.379883,4731.990234,-482.5,-431
482.58,482.72,-482.65,agyagkő,6,2.69998,2.6800001,26.7199001,103.75,22.6599998,166.4199982,-2.8733001,34.9099998,2707.280029,4792.490234,-482.6,-430
482.72,482.75,-482.735,aleurolit,7,2.6600101,2.71999,26.8500004,104.1900024,23.6399994,166.4100037,-2.8671801,36.2799988,2718.310059,4793.390137,-482.7,-428.0010071
482.75,483.01,-482.88,agyagkő,6,2.6200099,2.75998,26.8999996,104.1900024,21.7999992,166.9700012,-2.8645201,36.3600006,2743.479981,4722.660156,-482.9,-425
483.01,483.03,-483.02,agyagkő,6,2.6300001,2.6700301,26.8899994,103.5899963,22.1299992,167.1199951,-2.8736701,37.5299988,2746.310059,4716.339844,-483,-426
483.03,483.19,-483.11,agyagkő,6,2.6300001,2.69999,26.8099995,102.9199982,21.9300003,167.3600006,-2.8660901,36.2900009,2746.310059,4704.979981,-483.1,-427.9989929
483.19,483.2,-483.195,aleurolit,7,2.6699901,2.6300199,26.6800003,102.1200027,23.2900009,167.5500031,-2.8599501,36.7000008,2723.870117,4707.490234,-483.2,-428
483.2,483.24,-483.22,agyagkő,6,2.6699901,2.6300199,26.6800003,102.1200027,23.2900009,167.5500031,-2.8599501,36.7000008,2723.870117,4707.490234,-483.2,-428
483.24,483.25,-483.245,aleurolit,7,2.6699901,2.6300199,26.6800003,102.1200027,23.2900009,167.5500031,-2.8599501,36.7000008,2723.870117,4707.490234,-483.2,-428
483.38,483.7,-483.54,agyagkő,6,2.6400001,2.70998,26.1700001,99.2303009,24.4300003,167.0800018,-2.87115,38.75,2653.399902,4651.919922,-483.5,-430
483.7,483.8,-483.75,agyagkő,6,2.6800001,2.6600201,25.8600998,98.0301971,25.3699989,166.5099945,-2.8692501,37.1899986,2637.649902,4678.509766,-483.7,-433.9989929
483.8,484.25,-484.025,agyagkő,6,2.6700001,2.6100099,25.6100006,96.3701019,21.2000008,164.8300018,-2.85888,37.4000015,2658.689941,4733.839844,-484,-430.0010071
484.38,484.55,-484.465,agyagkő,6,2.69999,2.72,25.1900005,95.2699966,21.3799992,161.9600067,-2.8689499,36.5499992,2622.090088,4601.339844,-484.5,-427
484.55,485.04,-484.795,agyagkő,6,2.6800001,2.71,25.0799999,94.4300995,22.2999992,160.6499939,-2.8671801,38.5099983,2674.689941,4722.899902,-484.8,-426.9989929
485.04,485.05,-485.045,aleurolit,7,2.72,2.6400101,24.9400005,93.6400986,22.75,159.7799988,-2.8557899,36.9399986,2664,4731.220215,-485,-429
485.05,485.09,-485.07,agyagkő,6,2.74999,2.68998,24.8099995,93.2201004,20.9200001,159.3300018,-2.8631301,37.4099998,2653.399902,4685.419922,-485.1,-430
485.09,485.44,-485.265,agyagkő,6,2.71999,2.6800101,24.6000004,92.3701019,22.4400005,158.5599976,-2.87516,37.5600014,2596.560059,4583.049805,-485.3,-431
485.44,485.52,-485.48,agyagkő,6,2.6500199,2.70998,24.5400009,92.2399979,23.5400009,157.6399994,-2.8673699,38.1599998,2549.389893,4562.439941,-485.5,-434.9989929
485.52,485.75,-485.635,agyagkő,6,2.6600001,2.71,24.5799999,92.5198975,23.9200001,157.4199982,-2.8636701,37.6699982,2566.570068,4610.120117,-485.6,-436
485.75,485.8,-485.775,agyagkő,6,2.6599801,2.6500001,24.6900005,93.3498993,23.7999992,157.3099976,-2.88096,38.1599998,2574,4627.060059,-485.8,-432.0010071
485.8,485.9,-485.85,agyagkő,6,2.6599801,2.6500001,24.6900005,93.3498993,23.7999992,157.3099976,-2.88096,38.1599998,2574,4627.060059,-485.8,-432.0010071
485.9,487.15,-486.525,agyagkő,6,2.74,2.6800101,24.5100002,93.0600967,23.1499996,155.4799957,-2.8832901,40.2900009,2542.100098,4614.129883,-486.5,-427
487.15,487.26,-487.205,agyagkő,6,2.68999,2.70999,23.8901005,88.3402023,21.4799995,154.1100006,-2.8733699,40,2604.169922,4591.959961,-487.2,-434.9989929
487.26,487.28,-487.27,aleurolit,7,2.6800001,2.6800101,23.6100998,87.6401978,21.1800003,154.3800049,-2.8794701,38.6500015,2559.179932,4475.529785,-487.3,-436.9989929
487.28,488.6,-487.94,agyagkő,6,2.5700099,2.68998,24.2098999,93.0995026,24.8600006,159.4400024,-2.87448,39.1800003,2424.23999,4436.370117,-487.9,-431
488.6,489.16,-488.88,agyagkő,6,2.6500001,2.7000101,26.7600002,104.3899994,21.4099998,166.5,-2.8610301,36.6500015,2690.879883,4743.069824,-488.9,-429.9989929
489.16,490.49,-489.825,agyagkő,6,2.6500001,2.73999,26.5100002,101.8300018,25.6100006,171.6300049,-2.8708501,37.75,2637.649902,4585.080078,-489.8,-424.0010071
490.49,490.5,-490.495,aleurolit,7,2.6700101,2.7,26.9099998,104.6299973,20.7999992,174.6000061,-2.8510799,36.2799988,2669.340088,4697.009766,-490.5,-425
490.5,490.52,-490.51,agyagkő,6,2.6700101,2.7,26.9099998,104.6299973,20.7999992,174.6000061,-2.8510799,36.2799988,2669.340088,4697.009766,-490.5,-425
490.52,490.54,-490.53,aleurolit,7,2.6700101,2.7,26.9099998,104.6299973,20.7999992,174.6000061,-2.8510799,36.2799988,2669.340088,4697.009766,-490.5,-425
490.54,490.55,-490.545,agyagkő,6,2.6700101,2.7,26.9099998,104.6299973,20.7999992,174.6000061,-2.8510799,36.2799988,2669.340088,4697.009766,-490.5,-425
490.55,490.56,-490.555,aleurolit,7,2.6700001,2.7,26.9799995,105.0500031,19.8400002,174.8200073,-2.8517799,35.8100014,2674.689941,4672.600098,-490.6,-426
490.56,490.62,-490.59,agyagkő,6,2.6700001,2.7,26.9799995,105.0500031,19.8400002,174.8200073,-2.8517799,35.8100014,2674.689941,4672.600098,-490.6,-426
